Lesson 1 grades
Login,Grade,Comments,Retake?
cs61as-ae,9.5,No comments,false
cs61as-ag,9.0,No comments,false
cs61as-au,10.0,No comments,false
cs61as-bi,9.0,No comments,false
cs61as-bk,4.0,No comments,true
cs61as-bl,6.5,No comments,false
cs61as-bm,9.0,No comments,true
cs61as-bx,8.0,No comments,false
cs61as-da,9.5,Good Job!,false
cs61as-dz,7.5,No comments,false
